Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,TX,2014,"12        ",Female,17,Right-Handed,169,33,169,2,Car,9,0.287,51,Swimming,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,TX,2019,"12        ",Female,17,Right-Handed,160,23,152,2,Car,12,.247,46,Other,1000,572,781,658,497,893,23,"Same length",74,69,"Index finger",August,Spring,No,No,Pizza/Pasta,Water,Science,7,9,6,,"Text messaging",30,40,3,6,4,10,4,3,8,5,12,7,24,9,"A lot","Graduate degree",Other,Telepathy,Healthy,Relative,"Wildlife, animals"
USA,TX,2018,"12        ",Male,17,Right-Handed,173,25,165,2,Car,15,0.307,68,Soccer,834,1000,283,604,904,1000,26,"Left foot",80,90,"Ring finger",May,Winter,No,No,Meat,Water,,8,10,4,"Yes - broadband connection","Text messaging",10,10,9,2,7,2,4,5,5,2,15,7,0,3,Some,"Graduate degree","Rap/Hip hop",Telepathy,Rich,"Coach or club leader","International aid"
USA,TX,2012,"12        ",Female,17,Right-Handed,162,24,161,1,Car,10,.359,32,Swimming,1000,950,950,900,1000,1000,23,"Right foot",75,65,"Index finger",August,Fall,No,No,"Rice/Noodle dishes","Soft drink (caffeinated)","Computers and technology",8,9,5,"Yes - broadband connection","In person",5,5,3,1,5,2,0,0,5,2,20,6,20,1,Some,Other,Pop,Fly,Happy,Other,"Education/Youth development"
USA,TX,2021,"12        ",Male,17,Right-Handed,170,27.3,180,2,Car,13,.662,47,Other,1000,1000,1000,1000,1000,1000,27.3,"Same length",85,88,"Ring finger",May,Winter,Yes,No,Poultry,Water,Science,5,10,4,"Yes - other","Myspace, Facebook, other social networking sites, or blog","A lot","A lot",5,1,0,4,2,7,4,2,5,2,20,,"A lot","Some college","Rap/Hip hop","Freeze time",Happy,Actor,"International aid"
USA,TX,2018,"12        ",Male,17,Ambidextrous,180,28,190,1,Car,5,.487,42,Golf,500,200,450,600,679,693,28,"Left foot",55,59,"Ring finger",February,Winter,No,No,Meat,Water,History,6,10,7,"Yes - other","Text messaging",300,350,3,1,2,4,6,5,3,4,2,0,7,5,"Very little","Graduate degree","Rap/Hip hop","Super strength",Famous,"Doctor or nurse",Health
USA,TX,2021,"12        ",Female,17,Right-Handed,165,24,164,1,Car,15,.762,47,Soccer,500,700,800,800,500,900,24,"Same length",90,10,"Ring finger",April,Winter,No,No,Poultry,Water,Science,5,7,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",50,60,5,3,7,8,13,2,10,6,3,10,0,3,Some,"Graduate degree","Rap/Hip hop",Telepathy,Healthy,Relative,Health
USA,TX,2011,"12        ",Female,18,Right-Handed,165,24,166,2,Car,10,.375,33,Dancing,750,750,750,,750,750,23,"Right foot",83,79,"Index finger",April,Spring,Yes,No,Desserts,"Soft drink (caffeinated)",Science,7,12,3,"Yes - broadband connection","Text messaging",10,15,5,1,12,12,1,10,5,2,20,15,0,0,"A lot","Graduate degree",Pop,Fly,Happy,"Doctor or nurse",Health
USA,TX,2015,"5         ",Male,12,Right-Handed,132,22,140,1,Bus,10,0.300,51,"Football (American)",631,631,989,775,0,0,20,"Right foot",65,70,"Ring finger",January,Summer,Yes,No,Meat,"Soft drink (caffeinated)",Art,7,2,6,"Yes - broadband connection","Text messaging",43,39,10,3,0,2,10,0,1,3,1,5,5,2,"Very little","Graduate degree",Country,Telepathy,Healthy,Relative,"Wildlife, animals"
USA,TX,2020,"12        ",Male,18,Right-Handed,187,13,180,1,Car,5,654,56,Walking/Hiking,500,300,200,1000,1000,1000,69,"Same length",,,"Ring finger",May,Winter,No,No,Pizza/Pasta,Water,History,7,10,,,,,,,,,,,,,,,,,,,,,,,,
USA,TX,2019,"12        ",Female,20,Right-Handed,162,24,158,1,Walk,10,.5,72,Walking/Hiking,390,642,139,299,909,999,24,"Same length",62,65,"Ring finger",September,Summer,Yes,No,Poultry,Water,Art,7,10,5,"Yes - other","Myspace, Facebook, other social networking sites, or blog",10,27,10,10,10,10,10,0,30,20,60,20,18,10,Some,"Graduate degree","Punk rock",Invisibility,Happy,Relative,Health
