Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,PA,2018,6,Female,12.0,Right-Handed,164,24,159,1.0,Bus,20,0.552,48,Walking/Hiking,8500.0,8000.0,6000.0,9500.0,10.0,5500.0,24,Same length,80,80,Same length,December,Winter,Yes,No,Fruit,Juice,Art,7,9,5.0,Yes - broadband connection,In person,20,15,5,1.0,5.0,14,1,1,0.0,2.0,35.0,30.0,0,3.0,Some,Graduate degree,Pop,Telepathy,Happy,Relative,International aid
USA,PA,2013,12,Male,16.0,Right-Handed,176.5,27.9,182.9,2.0,Bus,12,.342,48,Swimming,300.0,450.0,500.0,300.0,1000.0,1000.0,28.94,Left foot,95.3,95.3,Same length,July,Summer,Yes,No,Meat,Water,Mathematics and statistics,8,10,4.0,Yes - broadband connection,In person,20,20,8,1.0,7.0,6,,,,,,,,,,,,,,,
USA,PA,2018,6,Male,12.0,Right-Handed,162,22,161,2.0,Bus,23,0.388,60,Swimming,18.0,25.0,50.0,2.0,500.0,300.0,23,Left foot,78,80,Ring finger,March,Summer,No,No,Meat,Water,Physical education,8,11,3.0,Yes - other,Cell phone,21,30,6,8.0,4.0,800,60,70,60.0,37.0,58.0,90.0,40,15.0,Very little,Graduate degree,Rhythm and blues (R&B),Fly,Happy,Relative,"Arts, culture, sports"
USA,PA,2023,12,Male,18.0,Right-Handed,194,31,198,1.0,Car,10,.328,40,Running/Jogging,600.0,400.0,200.0,200.0,1000.0,1000.0,31,Same length,90,95,Ring finger,November,Summer,No,No,Meat,Soft drink (caffeinated),History,5,10,4.0,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",40,60,5,10.0,5.0,10,5,10,5.0,5.0,5.0,5.0,0,5.0,Very little,Graduate degree,Heavy metal,Telepathy,Rich,Business person,Environment
USA,PA,2012,5,Male,,Right-Handed,,,,2.0,Bus,30,.327,51,Soccer,840.0,818.0,882.0,807.0,930.0,900.0,,,,,,July,Spring,Yes,No,No favorite,Water,Mathematics and statistics,8.5,10,4.0,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",0,0,1,1.0,5.0,20,8,2,1.0,0.0,3.0,1.5,0,2.0,Some,Graduate degree,Pop,Invisibility,Happy,Relative,Health
USA,PA,2016,8,Male,13.0,Right-Handed,169,25,181,3.0,Car,5,,,Other,,,,,,,28,Left foot,100,110,Ring finger,May,Summer,Yes,No,Meat,Water,Computers and technology,6,12,6.0,Yes - broadband connection,Internet chat or instant messaging,0,0,3,0.0,8.0,1,0,2,0.0,0.0,84.0,0.0,0,2.0,None,Other,Classical,Freeze time,Healthy,Other,Health
USA,PA,2019,12,Female,17.0,Right-Handed,163,24,163,2.0,Car,10, 0.32,33,Hockey (Field),529.0,422.0,610.0,433.0,561.0,572.0,23,Right foot,91,89,Index finger,February,Fall,No,No,Fruit,Water,Mathematics and statistics,7,9,6.0,Yes - other,Text messaging,900,1005,10,2.0,18.0,14,12,0,5.0,4.0,5.0,0.0,2,1.0,Some,Graduate degree,Rap/Hip hop,Telepathy,Healthy,Relative,Health
USA,PA,2023,12,Male,16.0,Right-Handed,175,24,181,1.0,Walk,15-20,0.5,47,Basketball,1000.0,600.0,400.0,0.0,10.0,10.0,24,Same length,80,80,Same length,July,Spring,Yes,No,Desserts,Juice,Computers and technology,7-8,11-12,5.0,Yes - broadband connection,Cell phone,idk,idk,4,9.0,0.0,10,12,12,12.0,1.0,12.0,1.0,0,2.0,Some,Graduate degree,Rap/Hip hop,Freeze time,Healthy,Musician or singer,Health
USA,PA,2013,6,Female,11.0,Right-Handed,152,21,150,2.0,Bus,10,0.344,41,Other,1000.0,1000.0,1000.0,1000.0,1.0,10.0,20,Right foot,70,750,Ring finger,May,Summer,No,No,Pizza/Pasta,Water,Computers and technology,9,10,6.0,Yes - other,"Myspace, Facebook, other social networking sites, or blog",0,0,6,1.0,2.0,2,6,1,1.0,1.0,1.0,4.0,1,1.0,Some,Graduate degree,Other,Telepathy,Healthy,Other,"Wildlife, animals"
USA,PA,2023,12,Male,17.0,Right-Handed,178,24.5,177.5,1.0,Walk,25,.36,58,Other,412.0,529.0,642.0,610.0,872.0,1000.0,24.5,Same length,100,90,Index finger,February,Winter,Yes,No,Pizza/Pasta,Milk,Social studies,7.5,10,3.0,Yes - broadband connection,Internet chat or instant messaging,50,65,7,0.5,7.5,4,2,12,3.0,4.0,14.0,5.0,0,1.5,A lot,Graduate degree,Other,Invisibility,Happy,Relative,Health
USA,PA,2015,12,Male,18.0,Right-Handed,157,25,158,1.0,Car,2,.394,54,Other,0.0,0.0,0.0,0.0,5.0,5.0,24.5,Right foot,60,80,Ring finger,February,Fall,No,No,Pizza/Pasta,Water,Art,7,8,6.0,Yes - broadband connection,Text messaging,10,10,4,0.5,0.1,6,10,1,2.0,0.5,1.0,1.0,0,3.0,Very little,Graduate degree,Country,Telepathy,Happy,Sports person,Education/Youth development
USA,PA,2022,12,Female,18.0,Right-Handed,170,25,182,1.0,Car,9,.417,55,Running/Jogging,900.0,900.0,800.0,950.0,600.0,900.0,24,Right foot,78,75,Index finger,October,Summer,Yes,No,Meat,Water,History,7,9,5.0,Yes - other,Text messaging,150,400,4,2.0,5.0,10,6,1,10.0,8.0,16.0,10.0,12,5.0,Some,Graduate degree,Pop,Telepathy,Rich,Relative,International aid
USA,PA,2019,6,Male,11.0,Right-Handed,145,20,149,1.0,Bus,10,.348,48,Football (American),663.0,1000.0,519.0,856.0,246.0,369.0,20,Same length,70,80,Ring finger,April,Summer,Yes,No,Meat,Water,Physical education,6,3,4.0,Yes - broadband connection,Text messaging,45,80,10,14.0,6.0,17,24,35,45.0,3.0,1.0,1.0,0,3.0,A lot,Undergraduate degree,Rock and roll,Super strength,Healthy,Relative,"Wildlife, animals"
USA,PA,2017,6,Male,11.0,Right-Handed,157,25,164,1.0,Bus,20,.63,44,Basketball,1000.0,1000.0,1000.0,1000.0,500.0,700.0,25,Same length,80,90,Ring finger,March,Summer,No,No,No favorite,Sports drink,Physical education,10,8,10.0,Yes - other,In person,0,0,4,0.0,2.0,4,4,1,1.0,0.0,1.0,1.0,1,1.0,Very little,Some college,Rap/Hip hop,Invisibility,Happy,Relative,Health
USA,PA,2019,4,Male,9.0,Right-Handed,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,PA,2016,12,Male,17.0,Left-Handed,160,25.5,132,2.0,Bus,25,0.311,37,Skateboarding/Rollerblading,1000.0,1000.0,700.0,700.0,700.0,700.0,25.5,Same length,70,70,Same length,January,Fall,Yes,Yes,Pizza/Pasta,Water,Art,6,7,9.0,Yes - broadband connection,Text messaging,100,100,15,49.0,10.0,0,0,0,7.0,15.0,15.0,12.0,17.5,5.0,Some,Some college,Punk rock,Freeze time,Happy,Musician or singer,International aid
USA,PA,2023,12,Female,18.0,Right-Handed,173,21.5,177,2.0,Car,7,.398,69,Running/Jogging,369.0,396.0,374.0,481.0,417.0,385.0,22,Left foot,6.6,6.4,Ring finger,September,Summer,No,Yes,Pizza/Pasta,Water,Computers and technology,5,10,4.0,Yes - broadband connection,Text messaging,200,1000,15,1.0,4.0,20,15,0,10.0,10.0,20.0,9.0,0,2.0,Some,Graduate degree,Rap/Hip hop,Freeze time,Rich,Friend,"Wildlife, animals"
