Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,CA,2023,"9         ",Male,14,Right-Handed,167.6,"25.7 ",168cm,2,Walk,10,0.367,41,Soccer,820,1000,650,550,420,400,168,"Same length",10,10,"Same length",December,Winter,Yes,No,Pizza/Pasta,Juice,"Mathematics and statistics",6,10,6,"Yes - broadband connection","Internet chat or instant messaging","a lot","a lot",8,10,3,6,12,15,30,30,5,2,5,7,Some,"High school","Rap/Hip hop",Telepathy,Rich,Relative,"Wildlife, animals"
USA,CA,2022,"11        ",Female,16,Right-Handed,159,24,164,1,Bus,20,0.383,39,Running/Jogging,0,200,500,700,800,900,23.5,"Right foot",85,80,"Index finger",October,Fall,No,No,"No favorite",Water,"Computers and technology",7,12,4,"Yes - broadband connection","In person",25,50,9,8,1,10,2,1,3,5,4,8,5,2,"Very little","Graduate degree",Country,Fly,Happy,Relative,Religious
USA,CA,2019,"12        ",Female,17,Right-Handed,64,24.1,61,2,Car,25,.0471,38,Swimming,500,500,500,500,1000,1000,24.1,"Same length",88.9,76.2,"Same length",February,Winter,Yes,No,Meat,Water,,9,7,8,"Yes - other",,20,20,5,2,3,6,2,0,1,1,2,2,4,2,"A lot","Graduate degree",Country,Telepathy,Healthy,"Doctor or nurse",Health
USA,CA,2021,"12        ",Male,17,Right-Handed,180,28,168,1,Car,15,0.285,40,Other,950,400,600,500,900,900,26.8,"Right foot",98,102,"Ring finger",September,Fall,No,No,Pizza/Pasta,Water,"Computers and technology",8,9,3,"Yes - other","Internet chat or instant messaging",14,30,5,2,12,12,1,20,2,8,30,6,0,5,"A lot","Graduate degree",Techno/Electronic,Fly,Happy,Other,"International aid"
USA,CA,2014,"12        ",Female,17,Right-Handed,171,24,178,2,Car,30,.6,44,Cycling,1000,1000,1000,1000,1000,1000,24,"Same length",12.6,8.4,"Index finger",November,Fall,No,No,Desserts,Water,English,7,10,5,"Yes - broadband connection","Text messaging",500,550,20,5,24,5,5,0,5,5,0,5,0,1,"A lot","Graduate degree","Rap/Hip hop",Telepathy,Happy,"Religious figure",Religious
USA,CA,2019,"11        ",Male,16,Right-Handed,162,23.8,158,1,Car,5,0.384,73,None,0,0,0,1000,500,999,23.3,"Right foot",35,35,"Same length",July,,No,No,Meat,Water,History,7,9,5,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",3,3,1,0,0,5,0,1,2,0,10,0,25,4,None,"Some college",Other,Invisibility,Rich,Other,Other
USA,CA,2012,"10        ",Female,15,Right-Handed,167,23,157,2,Car,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2016,"12        ",Female,17,Right-Handed,162.6,23,154,1,Car,"70 ",.41,43,Dancing,882,882,882,882,631,439,24,"Left foot",80,75,"Index finger",December,Summer,No,No,Pizza/Pasta,Water,"Mathematics and statistics",7,10,2,"Yes - broadband connection","Text messaging",100,400,3,4,10,5,18,0,8,20,1,5,0,2,Some,"Undergraduate degree",Pop,Telepathy,Healthy,Relative,Health
USA,CA,2022,"11        ",Male,16,Right-Handed,179,95,177,2,Walk,11,0.395,43,Baseball/Softball,529,701,524,428,818,711,24,"Same length",90,90,"Same length",November,Fall,Yes,No,Other,"Soft drink (non-caffeinated)","Physical education",7,10,4,"Yes - other","In person",41,32,30,0,25,130,5,60,56,6,168,5,0,30,Some,"Graduate degree",Other,Fly,Rich,Relative,Health
USA,CA,2020,"12        ",Female,16,Right-Handed,166,23,64,2,Car,20,0.397,43,Athletics,1000,1000,1000,1000,900,1000,23,"Same length",70,74,"Ring finger",July,Fall,No,No,"No favorite",Water,History,7,9,3,"Yes - other","In person",50,60,5,1,21,10,15,1,19,2,50,0,0,2,Some,Other,"Rap/Hip hop","Freeze time",Famous,Relative,Environment
USA,CA,2018,"12        ",Male,17,Right-Handed,180,28.6,180,3,Car,12,.417,80,"Football (American)",500,450,350,400,700,900,27.9,"Right foot",72,75,"Ring finger",June,Summer,No,No,Meat,Water,English,8,9,3,"Yes - broadband connection","Text messaging",80,120,8,1,5,2,9,3,4,5,4,5,0,1,Some,"Graduate degree","Rap/Hip hop",Fly,Rich,"Sports person","Arts, culture, sports"
USA,CA,2023,"11        ",Male,17,Right-Handed,121,20,110,1,Car,10,0.486,53,Skateboarding/Rollerblading,100,85,70,100,100,100,20,"Same length",63,70,"Ring finger",August,Winter,No,No,Meat,"Soft drink (caffeinated)",History,8,10,3,"Yes - other","Text messaging",10,8,72,3,96,10,72,96,100,100,100,2,0,24,Some,"High school","Rap/Hip hop","Freeze time",Rich,"Sports person",Health
USA,CA,2021,"12        ",Male,17,Right-Handed,182,31,190,1,Car,5,.7,68,Baseball/Softball,100,250,100,300,1000,950,30,"Same length",76,60,"Ring finger",June,Spring,No,No,Meat,Water,"Mathematics and statistics",7,8,5,"Yes - dial-up connection","Text messaging",25,30,5,4,7,15,8,0,5,7,8,9,0,0,Some,"Undergraduate degree",Country,"Super strength",Happy,"Sports person",Health
USA,CA,2012,"7         ",Female,12,Right-Handed,155,24,160,2,Car,30,0.843,39,Soccer,74,69,57,61,300,210,25,"Left foot",75,77,"Ring finger",April,Summer,No,No,Desserts,Juice,English,11,9,5,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",0,0,69,18,22,,,,,,,,,,,,,,,,
USA,CA,2023,"12        ",Female,16,Right-Handed,165,23,,2,Walk,15,0.36,,Other,1000,824,679,824,963,1000,23,"Same length",70,80,"Ring finger",June,Winter,No,No,Meat,Water,"Mathematics and statistics",7,9,3,"Yes - other","In person",100,90,2.5,0,7,4,2,3,6,5,40,0,0,1,"A lot","Graduate degree",Pop,"Freeze time",Rich,Politician,Environment
USA,CA,2019,"12        ",Female,16,Right-Handed,162,29,137,3,Bus,10,1.124,88,Other,900,800,900,700,700,1000,29,"Same length",6,5,"Index finger",October,Winter,No,No,"Rice/Noodle dishes",Coffee,Art,5,3,7,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",5,5,48,10,15,5,3,24,24,48,48,48,10,24,"A lot","Graduate degree",Pop,"Freeze time",Happy,"Musician or singer",Health
USA,CA,2016,"4         ",Male,17,Right-Handed," 167",25,160,1,Car,20,.293,36,Soccer,439,417,649,345,999,999,26,"Left foot",85,93,"Ring finger",July,Summer,Yes,No,Other,Water,History,7,8,3,"Yes - broadband connection","Text messaging",40,300,10,1,6,2,15,0,5,5,3,6,0,1,Some,"Graduate degree",Other,Fly,Happy,"Sports person",Religious
USA,CA,2013,"10        ",Female,16,Right-Handed,169,25,171,1,Car,21,.39,36,Other,500,400,800,600,300,500,24,"Right foot",180,170,"Index finger",February,Summer,No,No,Seafood,Water,Science,6,9,4,"Yes - broadband connection","In person",50,60,12,1,30,7,15,0,2,5,27,2,0,2,"A lot","Graduate degree",Techno/Electronic,Telepathy,Happy,Friend,Health
USA,CA,2021,"11        ",Male,16,Right-Handed,176,21,164,2,Car,7,0.493,40,Soccer,791,759,711,727,786,850,22,"Left foot",90,75,"Index finger",April,Summer,Yes,No,Seafood,Water,Music,7,9,4,"Yes - broadband connection","In person",50-70,100+,15,7,9,15,8,3,10,4,11,7,0,3,"A lot","Graduate degree","Rap/Hip hop",Fly,Happy,"Business person","International aid"
USA,CA,2020,"12        ",Male,17,Right-Handed,172.7,26,,3,Walk,5,0.728,50,Basketball,600,600,750,900,750,1000,26..3,"Left foot",70,70,"Same length",August,Winter,No,No,"Rice/Noodle dishes",Water,English,8,9,5,"Yes - other","Cell phone",7,10,6,25,10,42,0,21,35,7,35,4,0,7,Some,"Graduate degree","Rap/Hip hop","Freeze time",Rich,"Sports person",Health
USA,CA,2015,"12        ",Male,27,Right-Handed,168,25,166,1,Car,20,0.392,36,Bowling,316,540,230,278,1000,1000,26,"Left foot",80,80,"Same length",November,Winter,No,No,"Rice/Noodle dishes",Water,Science,7,9,2,"Yes - broadband connection","Text messaging",40,40,15,1,20,1,2,1,4,5,30,4,42,4,Some,"Graduate degree","Punk rock",Fly,Happy,Friend,"Education/Youth development"
USA,CA,2016,"11        ",Male,16,Right-Handed,173,28,184,1,Car,5,0.365,47,"Football (American)",198,198,701,503,305,1000,29,"Left foot",85,85,"Same length",January,Winter,Yes,No,Meat,Water,"Mathematics and statistics",7,10,3,"Yes - broadband connection","Internet chat or instant messaging",20,20,10,1,15,25,6,8,4,4,10,8,0,4,Some,"Graduate degree","Rap/Hip hop",Telepathy,Healthy,Friend,"Education/Youth development"
USA,CA,2019,"12        ",Female,17,Left-Handed,175,25,173,3,Car,6,0.307,42,Other,1000,797,1000,1000,578,798,26,"Left foot",80,90,"Ring finger",July,Summer,Yes,No,Salads,Water,"Social studies",7,10,4,"Yes - broadband connection","Text messaging",15,20,13,5,15,12,14,0,12,12,8,5,0,9,Some,"Graduate degree","Rap/Hip hop",Telepathy,Happy,Friend,"International aid"
